strategy,size,runs,mean_avg_ns,stddev_avg_ns
scalar,1024,3,22.78,2.27
scalar,8192,3,100.72,20.02
scalar,65536,3,937.46,187.36
tiled_128,1024,3,26.82,0.24
tiled_128,8192,3,91.83,7.11
tiled_128,65536,3,845.45,28.63
tiled_256,1024,3,27.98,3.05
tiled_256,8192,3,89.13,6.18
tiled_256,65536,3,891.93,147.66
tiled_256_padded,1024,3,22.01,2.85
tiled_256_padded,8192,3,104.23,22.64
tiled_256_padded,65536,3,839.07,81.38
tiled_512,1024,3,25.58,3.85
tiled_512,8192,3,92.91,9.86
tiled_512,65536,3,979.70,236.29
tiled_64,1024,3,24.84,3.49
tiled_64,8192,3,92.04,8.56
tiled_64,65536,3,1037.27,204.26
tiled_avx2_256,1024,3,22.21,3.07
tiled_avx2_256,8192,3,86.26,9.14
tiled_avx2_256,65536,3,1462.13,872.87
