variant,size,thrpt,change
baseline_20260528_122907,1,14.508 Melem/s 14.691 Melem/s 14.856 Melem/s,no_change
baseline_20260528_122907,2,13.895 Melem/s 14.126 Melem/s 14.339 Melem/s,regressed
baseline_20260528_122907,3,13.795 Melem/s 14.010 Melem/s 14.210 Melem/s,no_change
baseline_20260528_122907,4,13.475 Melem/s 13.678 Melem/s 13.861 Melem/s,within_noise
baseline_20260528_122907,5,13.154 Melem/s 13.341 Melem/s 13.508 Melem/s,improved
baseline_20260528_122907,6,12.601 Melem/s 12.837 Melem/s 13.047 Melem/s,no_change
baseline_20260528_122907,7,12.103 Melem/s 12.349 Melem/s 12.571 Melem/s,no_change
baseline_20260528_122907,8,11.358 Melem/s 11.631 Melem/s 11.887 Melem/s,regressed
baseline_20260528_122907,16,10.492 Melem/s 10.685 Melem/s 10.856 Melem/s,no_change
hybrid_20260528_124335,1,14.557 Melem/s 14.712 Melem/s 14.850 Melem/s,within_noise
hybrid_20260528_124335,2,14.406 Melem/s 14.566 Melem/s 14.704 Melem/s,regressed
hybrid_20260528_124335,3,14.031 Melem/s 14.211 Melem/s 14.375 Melem/s,within_noise
hybrid_20260528_124335,4,13.471 Melem/s 13.681 Melem/s 13.861 Melem/s,regressed
hybrid_20260528_124335,5,13.090 Melem/s 13.290 Melem/s 13.465 Melem/s,regressed
hybrid_20260528_124335,6,11.558 Melem/s 11.887 Melem/s 12.206 Melem/s,regressed
hybrid_20260528_124335,7,12.161 Melem/s 12.408 Melem/s 12.614 Melem/s,regressed
hybrid_20260528_124335,8,11.509 Melem/s 11.714 Melem/s 11.906 Melem/s,regressed
hybrid_20260528_124335,16,10.266 Melem/s 10.451 Melem/s 10.625 Melem/s,regressed
rwlock_20260528_124647,1,15.182 Melem/s 15.356 Melem/s 15.507 Melem/s,no_change
rwlock_20260528_124647,2,15.099 Melem/s 15.296 Melem/s 15.467 Melem/s,improved
rwlock_20260528_124647,3,14.849 Melem/s 15.070 Melem/s 15.258 Melem/s,improved
rwlock_20260528_124647,4,13.382 Melem/s 13.789 Melem/s 14.133 Melem/s,within_noise
rwlock_20260528_124647,5,13.877 Melem/s 14.129 Melem/s 14.338 Melem/s,improved
rwlock_20260528_124647,6,13.315 Melem/s 13.541 Melem/s 13.739 Melem/s,improved
rwlock_20260528_124647,7,12.837 Melem/s 13.064 Melem/s 13.257 Melem/s,improved
rwlock_20260528_124647,8,12.531 Melem/s 12.699 Melem/s 12.843 Melem/s,improved
rwlock_20260528_124647,16,11.415 Melem/s 11.580 Melem/s 11.729 Melem/s,improved
rwlock_extended_20260528_125230,1,14.690 Melem/s 14.856 Melem/s 15.007 Melem/s,no_change
rwlock_extended_20260528_125230,2,14.710 Melem/s 14.843 Melem/s 14.965 Melem/s,regressed
rwlock_extended_20260528_125230,3,14.280 Melem/s 14.418 Melem/s 14.545 Melem/s,regressed
rwlock_extended_20260528_125230,4,13.791 Melem/s 13.951 Melem/s 14.100 Melem/s,within_noise
rwlock_extended_20260528_125230,5,13.452 Melem/s 13.588 Melem/s 13.712 Melem/s,regressed
rwlock_extended_20260528_125230,6,11.427 Melem/s 11.682 Melem/s 11.931 Melem/s,regressed
rwlock_extended_20260528_125230,7,12.489 Melem/s 12.636 Melem/s 12.772 Melem/s,regressed
rwlock_extended_20260528_125230,8,11.871 Melem/s 12.037 Melem/s 12.193 Melem/s,regressed
rwlock_extended_20260528_125230,16,10.529 Melem/s 10.712 Melem/s 10.884 Melem/s,regressed
tuned_20260528_123132,1,13.382 Melem/s 13.908 Melem/s 14.402 Melem/s,regressed
tuned_20260528_123132,2,14.567 Melem/s 14.758 Melem/s 14.930 Melem/s,improved
tuned_20260528_123132,3,13.805 Melem/s 14.165 Melem/s 14.515 Melem/s,within_noise
tuned_20260528_123132,4,13.910 Melem/s 14.129 Melem/s 14.329 Melem/s,within_noise
tuned_20260528_123132,5,13.453 Melem/s 13.720 Melem/s 13.958 Melem/s,improved
tuned_20260528_123132,6,13.307 Melem/s 13.537 Melem/s 13.740 Melem/s,improved
tuned_20260528_123132,7,12.944 Melem/s 13.167 Melem/s 13.342 Melem/s,improved
tuned_20260528_123132,8,12.157 Melem/s 12.407 Melem/s 12.624 Melem/s,improved
tuned_20260528_123132,16,11.032 Melem/s 11.185 Melem/s 11.316 Melem/s,improved
